prijmeni	jmeno	strana	id
Adámek	František	ČSSD	id_0004
Antonín	Pavel	ČSSD	id_0009
Běhounek	Jiří	ČSSD	id_0028
Benešová	Marie	ČSSD	id_0038
Birke	Jan	ČSSD	id_0049
Böhnisch	Robin	ČSSD	id_0057
Černý	Karel	ČSSD	id_0099
Dolejš	Richard	ČSSD	id_0116
Foldyna	Jaroslav	ČSSD	id_0150
Hamáček	Jan	ČSSD	id_0176
Hašek	Michal	ČSSD	id_0183
Havíř	Pavel	ČSSD	id_0185
Holík	Pavel	ČSSD	id_0201
Huml	Stanislav	ČSSD	id_0762
Chovanec	Milan	ČSSD	id_0226
Chvojka	Jan	ČSSD	id_0227
Jakubčík	Igor	ČSSD	id_0231
Jandák	Vítězslav	ČSSD	id_0235
Kailová	Zuzana	ČSSD	id_0256
Klučka	Václav	ČSSD	id_0280
Kořenek	Petr	ČSSD	id_0301
Koskuba	Jiří	ČSSD	id_0304
Krákora	Jaroslav	ČSSD	id_0319
Mládek	Jan	ČSSD	id_0411
Novotný	Josef	ČSSD	id_0447
Nytrová	Pavlína	ČSSD	id_0453
Petera	Miloš	ČSSD	id_0494
Petrů	Jiří	ČSSD	id_0498
Pleticha	Lukáš	ČSSD	id_0508
Ploc	Pavel	ČSSD	id_0511
Rykala	Adam	ČSSD	id_0550
Seďa	Antonín	ČSSD	id_0556
Sklenák	Roman	ČSSD	id_0570
Sobotka	Bohuslav	ČSSD	id_0581
Strnadlová	Miroslava	ČSSD	id_0591
Stupčuk	Štěpán	ČSSD	id_0593
Šincl	Ladislav	ČSSD	id_0620
Tejc	Jeroným	ČSSD	id_0651
Toufar	Lubomír	ČSSD	id_0661
Urban	Milan	ČSSD	id_0672
Váhalová	Dana	ČSSD	id_0677
Váňa	Roman	ČSSD	id_0682
Velebný	Ladislav	ČSSD	id_0688
Votava	Václav	ČSSD	id_0712
Wernerová	Markéta	ČSSD	id_0728
Zaorálek	Lubomír	ČSSD	id_0739
Zavadil	Jaroslav	ČSSD	id_0742
Zemánek	Jiří	ČSSD	id_0747
Zemek	Václav	ČSSD	id_0748
Zimola	Jiří	ČSSD	id_0753
Babiš	Andrej	ANO	id_0013
Babiš	Miloš	ANO	id_0014
Bačiak	Miloslav	ANO	id_0016
Balaštíková	Margita	ANO	id_0017
Berdychová	Martina	ANO	id_0039
Berkovec	Stanislav	ANO	id_0040
Brabec	Richard	ANO	id_0060
Brázdil	Milan	ANO	id_0064
Čihák	Pavel	ANO	id_0103
Dobešová	Ivana	ANO	id_0113
Faltýnek	Jaroslav	ANO	id_0134
Fichtner	Matěj	ANO	id_0141
Hájek	Josef	ANO	id_0173
Holeček	Jiří	ANO	id_0197
Chalupa	Bohuslav	ANO	id_0221
Janulík	Miloslav	ANO	id_0239
Jourová	Věra	ANO	id_0249
Kasal	David	ANO	id_0268
Kolovratník	Martin	ANO	id_0292
Komárek	Martin	ANO	id_0293
Kubíček	Roman	ANO	id_0333
Lorencová	Jana	ANO	id_0370
Maxová	Radka	ANO	id_0400
Nykl	Igor	ANO	id_0452
Okleštěk	Ladislav	ANO	id_0457
Pastuchová	Jana	ANO	id_0473
Pfléger	Stanislav	ANO	id_0500
Pilný	Ivan	ANO	id_0503
Plzák	Pavel	ANO	id_0512
Pokorná Jermanová	Jaroslava	ANO	id_0516
Procházka	Roman	ANO	id_0523
Rais	Karel	ANO	id_0532
Sedláček	Jan	ANO	id_0557
Sedlář	Martin	ANO	id_0558
Schwarz	Bronislav	ANO	id_0565
Soukup	Zdeněk	ANO	id_0583
Stropnický	Martin	ANO	id_0592
Šrámek	Pavel	ANO	id_0637
Válková	Helena	ANO	id_0680
Volčík	Pavel	ANO	id_0704
Volný	Jan	ANO	id_0706
Vondráček	Radek	ANO	id_0708
Vozdecký	Josef	ANO	id_0713
Vozka	Vlastimil	ANO	id_0714
Vyzula	Rostislav	ANO	id_0724
Zelienková	Kristýna	ANO	id_0744
Zlatuška	Jiří	ANO	id_0754
Adam	Vojtěch	KSČM	id_0002
Aulická Jírovcová	Hana	KSČM	id_0011
Bebarová Rujbrová	Zuzka	KSČM	id_0027
Borka	Jaroslav	KSČM	id_0059
Černý	Alexander	KSČM	id_0097
Číp	René	KSČM	id_0104
Dolejš	Jiří	KSČM	id_0115
Filip	Vojtěch	KSČM	id_0142
Grebeníček	Miroslav	KSČM	id_0163
Grospič	Stanislav	KSČM	id_0167
Halíková	Milada	KSČM	id_0175
Hubáčková	Gabriela	KSČM	id_0215
Klán	Jan	KSČM	id_0273
Konečná	Kateřina	KSČM	id_0294
Koníček	Vladimír	KSČM	id_0296
Kováčik	Pavel	KSČM	id_0315
Mackovík	Stanislav	KSČM	id_0376
Marková	Soňa	KSČM	id_0389
Matušovská	Květa	KSČM	id_0399
Nekl	Josef	KSČM	id_0429
Nohavová	Alena	KSČM	id_0438
Ondráček	Zdeněk	KSČM	id_0459
Opálka	Miroslav	KSČM	id_0461
Pěnčíková	Marie	KSČM	id_0488
Pojezný	Ivo	KSČM	id_0515
Semelová	Marta	KSČM	id_0561
