prijmeni	jmeno	id	pspcr	wiki	personal
Adam	Petr	id_0001	https://www.psp.cz/sqw/detail.sqw?id=6146		
Adam	Vojtěch	id_0002	https://www.psp.cz/sqw/detail.sqw?id=5768		
Adamec	Ivan	id_0003	https://www.psp.cz/sqw/detail.sqw?id=5700		
Adámek	František	id_0004	https://www.psp.cz/sqw/detail.sqw?id=467		
Ambrozek	Libor	id_0005	http://www.psp.cz/sqw/detail.sqw?o=4&id=295		
Andrle Sylor	Augustin Karel	id_0006	https://www.psp.cz/sqw/detail.sqw?id=6148		
Andrýsová	Lenka	id_0007	http://www.psp.cz/sqw/detail.sqw?o=6&id=5890		
Antolák	Vlastislav	id_0008	http://www.psp.cz/sqw/detail.sqw?id=5312&o=4		
Antonín	Pavel	id_0009	https://www.psp.cz/sqw/detail.sqw?id=5891		
Aubrecht	Vlastimil	id_0010	http://www.psp.cz/sqw/detail.sqw?id=344&o=5		
Aulická Jírovcová	Hana	id_0011	https://www.psp.cz/sqw/detail.sqw?id=6149		
Babák	Michal	id_0012	http://www.psp.cz/sqw/detail.sqw?id=5892&o=6		
Babiš	Andrej	id_0013	https://www.psp.cz/sqw/detail.sqw?id=6150	https://cs.wikipedia.org/wiki/Andrej_Babi%C5%A1	https://www.facebook.com/AndrejBabis/
Babiš	Miloš	id_0014	https://www.psp.cz/sqw/detail.sqw?id=6151		
Babor	Jan	id_0015	http://www.psp.cz/sqw/detail.sqw?id=5444		
Bačiak	Miloslav	id_0016	http://www.psp.cz/sqw/detail.sqw?id=6152		
Balaštíková	Margita	id_0017	https://www.psp.cz/sqw/detail.sqw?id=6177		
Bárta	Vít	id_0693	http://www.psp.cz/sqw/detail.sqw?o=6&id=5893	https://cs.wikipedia.org/wiki/V%C3%ADt_B%C3%A1rta	https://twitter.com/vitbarta
Bartoš	Vladimír	id_0018	http://www.psp.cz/sqw/detail.sqw?o=2&id=255		
Bartoš	Walter	id_0019	http://www.psp.cz/sqw/detail.sqw?o=4&id=345		
Bartošek	Jan	id_0020	https://www.psp.cz/sqw/detail.sqw?id=6178	https://cs.wikipedia.org/wiki/Jan_Barto%C5%A1ek	https://twitter.com/honzabartosek
Bartošková	Drahoslava	id_0021	http://www.psp.cz/en/sqw/detail.sqw?id=256&o=2		
Bařinka	Vlastimil	id_0022	http://www.psp.cz/sqw/detail.sqw?id=257		
Bašta	Jaroslav	id_0023	http://www.psp.cz/sqw/detail.sqw?o=2&id=207		
Baštýř	Václav	id_0024	http://www.psp.cz/sqw/detail.sqw?id=5894&o=6		
Bauer	Jan	id_0025	http://www.psp.cz/sqw/detail.sqw?id=5379&o=6&s=1		
Bayerová	Marta	id_0026	https://www.psp.cz/sqw/text/detail.sqw?id=5302&o=5		
Bebarová Rujbrová	Zuzka	id_0027	https://www.psp.cz/sqw/detail.sqw?id=312		
Běhounek	Jiří	id_0028	https://www.psp.cz/sqw/detail.sqw?id=6002		
Bělehrádek	Stanislav	id_0029	http://www.psp.cz/sqw/detail.sqw?id=5&o=2		
Bělobrádek	Pavel	id_0030	https://www.psp.cz/sqw/detail.sqw?id=6138	https://cs.wikipedia.org/wiki/Pavel_B%C4%9Blobr%C3%A1dek	https://twitter.com/PavelBelobradek?lang=cs
Bém	Pavel	id_0031	http://www.psp.cz/sqw/detail.sqw?id=5895&o=6	https://cs.wikipedia.org/wiki/Pavel_B%C3%A9m	http://www.pavelbem.cz/
Benda	Marek	id_0032	https://www.psp.cz/sqw/detail.sqw?id=4	https://cs.wikipedia.org/wiki/Marek_Benda	https://www.facebook.com/benda2017/
Benda	Petr	id_0033	http://www.psp.cz/sqw/detail.sqw?id=6124&o=6	https://cs.wikipedia.org/wiki/Petr_Benda_(politik)	
Bendl	Petr	id_0034	https://www.psp.cz/sqw/detail.sqw?id=346	https://cs.wikipedia.org/wiki/Petr_Bendl	https://www.facebook.com/bendlpetr/
Beneš	Miroslav	id_0035	http://www.psp.cz/sqw/detail.sqw?id=347&o=4		
Beneš	František	id_0036	http://www.psp.cz/sqw/detail.sqw?id=5260&o=4		
Benešík	Ondřej	id_0037	https://www.psp.cz/sqw/detail.sqw?id=6179		
Benešová	Marie	id_0038	https://www.psp.cz/sqw/detail.sqw?id=6136		
Berdychová	Martina	id_0039	https://www.psp.cz/sqw/detail.sqw?id=6180		
Berkovec	Stanislav	id_0040	https://www.psp.cz/sqw/detail.sqw?id=6143	https://cs.wikipedia.org/wiki/Stanislav_Berkovec	https://www.facebook.com/stanislav.berkovec.5
Bernášek	Miroslav	id_0041	http://www.psp.cz/sqw/detail.sqw?id=6098&o=6		
Besser	Jiří	id_0042	http://www.psp.cz/sqw/detail.sqw?id=5896&o=6		
Besta	Zdeněk	id_0043	http://www.psp.cz/sqw/detail.sqw?id=5865&o=5		
Bezecný	Zdeněk	id_0044	https://www.psp.cz/sqw/detail.sqw?id=5897		
Beznoska	Adolf	id_0045	http://www.psp.cz/sqw/detail.sqw?id=6181&org=171		
Bičík	Milan	id_0046	http://www.psp.cz/sqw/detail.sqw?id=5295&o=5		
Bielesz	Marian	id_0047	http://www.psp.cz/sqw/detail.sqw?id=5323&o=4		
Bílý	Jiří	id_0048	http://www.psp.cz/sqw/detail.sqw?id=348&o=4		
Birke	Jan	id_0049	https://www.psp.cz/sqw/detail.sqw?id=6182	https://cs.wikipedia.org/wiki/Jan_Birke	https://www.facebook.com/birke.jan/
Bíža	Josef	id_0050	http://www.psp.cz/sqw/detail.sqw?id=5280&o=4		
Bláha	Jan	id_0051	http://www.psp.cz/sqw/detail.sqw?o=3&id=8		
Blažek	Pavel	id_0052	https://www.psp.cz/sqw/detail.sqw?id=6079	https://cs.wikipedia.org/wiki/Pavel_Bla%C5%BEek_(politik)	
Boháč	Zdeněk	id_0053	http://www.psp.cz/sqw/detail.sqw?o=6&id=5445		
Boháčková	Jarmila	id_0054	http://www.psp.cz/sqw/detail.sqw?id=349&o=4		
Bohatec	Pavel	id_0055	http://www.psp.cz/sqw/detail.sqw?id=5446&o=6		
Bohdalová	Vlasta	id_0056	https://www.psp.cz/sqw/detail.sqw?id=5447		
Böhnisch	Robin	id_0057	https://www.psp.cz/sqw/detail.sqw?id=5342		
Borák	Josef	id_0058	http://www.psp.cz/sqw/detail.sqw?o=2&id=296		
Borka	Jaroslav	id_0059	https://www.psp.cz/sqw/detail.sqw?id=6183		
Brabec	Richard	id_0060	https://www.psp.cz/sqw/detail.sqw?id=6184	https://cs.wikipedia.org/wiki/Richard_Brabec	https://www.facebook.com/richard.brabec.9
Braný	Petr	id_0061	http://www.psp.cz/sqw/detail.sqw?id=5270&o=6		
Bratinka	Pavel	id_0062	http://www.psp.cz/sqw/detail.sqw?id=286&o=2		
Bratský	Petr	id_0063	http://www.psp.cz/sqw/detail.sqw?id=5256&o=5		
Brázdil	Milan	id_0064	https://www.psp.cz/sqw/detail.sqw?id=6185		
Brousek	Václav	id_0065	http://www.psp.cz/sqw/detail.sqw?id=350&o=3		
Brožík	František	id_0066	http://www.psp.cz/sqw/detail.sqw?id=12&o=4		
Brtnický	Jiří	id_0067	http://www.psp.cz/sqw/detail.sqw?id=351&o=3		
Brynychová	Ludmila	id_0068	http://www.psp.cz/sqw/detail.sqw?id=206&o=4		
Brzobohatá	Zuzana	id_0069	http://www.psp.cz/sqw/detail.sqw?o=5&id=5770		
Březina	Tomáš	id_0070	http://www.psp.cz/sqw/detail.sqw?id=258&o=2	https://cs.wikipedia.org/wiki/Tom%C3%A1%C5%A1_B%C5%99ezina	http://www.tomasbrezina.cz/
Bubeníková	Ludmila	id_0071	http://www.psp.cz/sqw/detail.sqw?id=5898&o=6		
Bublan	František	id_0072	http://www.psp.cz/sqw/detail.sqw?id=5383&o=6	https://cs.wikipedia.org/wiki/Franti%C5%A1ek_Bublan	http://www.frantisekbublan.cz/
Bubník	Augustin	id_0073	http://www.psp.cz/sqw/detail.sqw?id=352&o=3		
Budinský	Vladimír	id_0074	http://www.psp.cz/sqw/detail.sqw?o=2&id=13		
Bureš	Eduard	id_0075	http://www.psp.cz/sqw/detail.sqw?id=15&o=2		
Bureš	Jan	id_0076	http://www.psp.cz/sqw/detail.sqw?id=5899&o=6		
Bürgermeister	Jan	id_0077	http://www.psp.cz/sqw/detail.sqw?id=5448&o=5		
Bursík	Martin	id_0078	http://www.psp.cz/sqw/detail.sqw?id=441&o=5	https://cs.wikipedia.org/wiki/Martin_Burs%C3%ADk	http://www.martinbursik.cz/
Buzková	Petra	id_0079	http://www.psp.cz/sqw/detail.sqw?id=16&o=4	https://cs.wikipedia.org/wiki/Petra_Buzkov%C3%A1	
Býček	Ladislav	id_0080	http://www.psp.cz/sqw/detail.sqw?id=5303&o=4		
Cabrnoch	Milan	id_0081	http://www.psp.cz/sqw/detail.sqw?o=4&id=353		
Carbol	Jiří	id_0082	http://www.psp.cz/sqw/detail.sqw?o=5&id=5449		
Cempírek	Václav	id_0083	http://www.psp.cz/sqw/detail.sqw?id=5900&o=6		
Cisár	Vladimír	id_0084	http://www.psp.cz/sqw/detail.sqw?o=3&id=203		
